GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fxui,ui,CleanEApp,23,0,0,0,7,0,3,0,3,0
fxui,ui,CleanEController,314,52,31,1,66,15,23,4,7,4
