GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gr2244,cleane,Leaderboard,11,11,0,0,2,3,2,2,2,2
gr2244,cleane,FileManagement,48,0,0,0,16,0,3,0,3,0
gr2244,cleane,User,4,42,0,0,2,13,1,7,1,7
gr2244,cleane,Task,0,85,0,2,0,19,0,8,0,7
gr2244,cleane,CleanEController,82,0,0,0,17,0,2,0,2,0
gr2244,cleane,CleanEApp,23,0,0,0,7,0,3,0,3,0
